Name	input_file	simulation_n	quant_method	tally_method	NumReads	truth
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_3	7	bowtie2	mapq10	0.0	3099
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_3	8	bowtie2	mapq10	0.0	13
Mus_musculus_mito_tRNA-Arg-TCG-1	quantMtRNAseq_Cortex_tRNA_3	9	bowtie2	mapq10	0.0	4
Mus_musculus_mito_tRNA-Asn-GTT-1	quantMtRNAseq_Cerebellum_tRNA_1	0	bowtie2	mapq10	0.0	36
Mus_musculus_mito_tRNA-Asn-GTT-1	quantMtRNAseq_Cerebellum_tRNA_1	1	bowtie2	mapq10	0.0	34
Mus_musculus_mito_tRNA-Asn-GTT-1	quantMtRNAseq_Cerebellum_tRNA_1	2	bowtie2	mapq10	0.0	0
Mus_musculus_mito_tRNA-Asn-GTT-1	quantMtRNAseq_Cerebellum_tRNA_1	3	bowtie2	mapq10	13.0	8914
Mus_musculus_mito_tRNA-Asn-GTT-1	quantMtRNAseq_Cerebellum_tRNA_1	4	bowtie2	mapq10	0.0	1
Mus_musculus_mito_tRNA-Asn-GTT-1	quantMtRNAseq_Cerebellum_tRNA_1	5	bowtie2	mapq10	0.0	2
Mus_musculus_mito_tRNA-Asn-GTT-1	quantMtRNAseq_Cerebellum_tRNA_1	6	bowtie2	mapq10	1.0	408
Mus_musculus_mito_tRNA-Asn-GTT-1	quantMtRNAseq_Cerebellum_tRNA_1	7	bowtie2	mapq10	7.0	4351
Mus_musculus_mito_tRNA-Asn-GTT-1	quantMtRNAseq_Cerebellum_tRNA_1	8	bowtie2	mapq10	0.0	6
Mus_musculus_mito_tRNA-Asn-GTT-1	quantMtRNAseq_Cerebellum_tRNA_1	9	bowtie2	mapq10	1.0	316
