alignments	anticodons	agreement	count	input_file	simulation_n	quant_method
single	single	correct	637135	quantMtRNAseq_Cerebellum_tRNA_3	6	bowtie2
single	single	incorrect	366	quantMtRNAseq_Cerebellum_tRNA_3	6	bowtie2
multiple	single	correct	146288	quantMtRNAseq_Cerebellum_tRNA_3	6	bowtie2
multiple	single	incorrect	95	quantMtRNAseq_Cerebellum_tRNA_3	6	bowtie2
multiple	multiple	incorrect	200469	quantMtRNAseq_Cerebellum_tRNA_3	6	bowtie2
single	single	correct	616667	quantMtRNAseq_Cerebellum_tRNA_3	6	shrimp
single	single	incorrect	69	quantMtRNAseq_Cerebellum_tRNA_3	6	shrimp
multiple	single	correct	94477	quantMtRNAseq_Cerebellum_tRNA_3	6	shrimp
multiple	single	incorrect	68	quantMtRNAseq_Cerebellum_tRNA_3	6	shrimp
multiple	multiple	incorrect	22225	quantMtRNAseq_Cerebellum_tRNA_3	6	shrimp
multiple	single	correct	574543	quantMtRNAseq_Cerebellum_tRNA_3	7	bowtie2
multiple	single	incorrect	500	quantMtRNAseq_Cerebellum_tRNA_3	7	bowtie2
multiple	multiple	incorrect	52572	quantMtRNAseq_Cerebellum_tRNA_3	7	bowtie2
single	single	correct	353774	quantMtRNAseq_Cerebellum_tRNA_3	7	bowtie2
single	single	incorrect	2462	quantMtRNAseq_Cerebellum_tRNA_3	7	bowtie2
multiple	single	correct	277791	quantMtRNAseq_Cerebellum_tRNA_3	7	shrimp
multiple	single	incorrect	151	quantMtRNAseq_Cerebellum_tRNA_3	7	shrimp
multiple	multiple	incorrect	3010	quantMtRNAseq_Cerebellum_tRNA_3	7	shrimp
single	single	correct	291311	quantMtRNAseq_Cerebellum_tRNA_3	7	shrimp
single	single	incorrect	346	quantMtRNAseq_Cerebellum_tRNA_3	7	shrimp
multiple	single	correct	422845	quantMtRNAseq_Cerebellum_tRNA_3	8	bowtie2
multiple	single	incorrect	1058	quantMtRNAseq_Cerebellum_tRNA_3	8	bowtie2
multiple	multiple	incorrect	367480	quantMtRNAseq_Cerebellum_tRNA_3	8	bowtie2
single	single	correct	188047	quantMtRNAseq_Cerebellum_tRNA_3	8	bowtie2
single	single	incorrect	1781	quantMtRNAseq_Cerebellum_tRNA_3	8	bowtie2
multiple	single	correct	365108	quantMtRNAseq_Cerebellum_tRNA_3	8	shrimp
multiple	single	incorrect	468	quantMtRNAseq_Cerebellum_tRNA_3	8	shrimp
multiple	multiple	incorrect	44264	quantMtRNAseq_Cerebellum_tRNA_3	8	shrimp
single	single	correct	169429	quantMtRNAseq_Cerebellum_tRNA_3	8	shrimp
single	single	incorrect	496	quantMtRNAseq_Cerebellum_tRNA_3	8	shrimp
multiple	single	correct	662681	quantMtRNAseq_Cerebellum_tRNA_3	9	bowtie2
multiple	single	incorrect	457	quantMtRNAseq_Cerebellum_tRNA_3	9	bowtie2
multiple	multiple	incorrect	96429	quantMtRNAseq_Cerebellum_tRNA_3	9	bowtie2
single	single	correct	218560	quantMtRNAseq_Cerebellum_tRNA_3	9	bowtie2
single	single	incorrect	2404	quantMtRNAseq_Cerebellum_tRNA_3	9	bowtie2
multiple	single	correct	464739	quantMtRNAseq_Cerebellum_tRNA_3	9	shrimp
multiple	single	incorrect	212	quantMtRNAseq_Cerebellum_tRNA_3	9	shrimp
multiple	multiple	incorrect	14438	quantMtRNAseq_Cerebellum_tRNA_3	9	shrimp
single	single	correct	167399	quantMtRNAseq_Cerebellum_tRNA_3	9	shrimp
single	single	incorrect	334	quantMtRNAseq_Cerebellum_tRNA_3	9	shrimp
multiple	single	correct	335010	quantMtRNAseq_Cortex_tRNA_1	0	bowtie2
multiple	single	incorrect	321	quantMtRNAseq_Cortex_tRNA_1	0	bowtie2
multiple	multiple	incorrect	124422	quantMtRNAseq_Cortex_tRNA_1	0	bowtie2
single	single	incorrect	3069	quantMtRNAseq_Cortex_tRNA_1	0	bowtie2
single	single	correct	326796	quantMtRNAseq_Cortex_tRNA_1	0	bowtie2
multiple	single	correct	163525	quantMtRNAseq_Cortex_tRNA_1	0	shrimp
multiple	single	incorrect	90	quantMtRNAseq_Cortex_tRNA_1	0	shrimp
multiple	multiple	incorrect	9283	quantMtRNAseq_Cortex_tRNA_1	0	shrimp
single	single	correct	196336	quantMtRNAseq_Cortex_tRNA_1	0	shrimp
single	single	incorrect	178	quantMtRNAseq_Cortex_tRNA_1	0	shrimp
multiple	single	correct	548135	quantMtRNAseq_Cortex_tRNA_1	1	bowtie2
multiple	single	incorrect	586	quantMtRNAseq_Cortex_tRNA_1	1	bowtie2
multiple	multiple	incorrect	213959	quantMtRNAseq_Cortex_tRNA_1	1	bowtie2
single	single	correct	215967	quantMtRNAseq_Cortex_tRNA_1	1	bowtie2
single	single	incorrect	1903	quantMtRNAseq_Cortex_tRNA_1	1	bowtie2
