Name	input_file	simulation_n	truth	NumReads	quant_method	tally_method
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_2	0	3	3	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_2	1	2417	2404	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_2	2	305	304	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_2	3	11	11	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_2	4	6	6	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_2	5	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_2	6	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_2	7	689	688	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_2	8	186	186	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_2	9	5	5	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_3	0	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_3	1	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_3	2	2110	2095	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_3	3	146	145	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_3	4	2	2	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_3	5	4	4	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_3	6	22065	21955	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_3	7	362	360	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_3	8	6	6	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_0_3	9	2	2	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_5_1	0	44	44	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_5_1	1	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_5_1	2	4	4	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_5_1	3	2	2	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_5_1	4	712	709	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_5_1	5	21	21	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_5_1	6	8	8	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_5_1	7	15	15	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_5_1	8	29	29	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_5_1	9	0	0	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_5_2	0	48	48	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_5_2	1	40	39	mimseq	mimseq
Homo_sapiens_MTtRNA-Asn-GTT	ALLtRNAseq_hESC_5_2	2	0	0	mimseq	mimseq
